,year,rank,name,sector,industry,revenues,revchange,profits,prftchange,assets,employees,hqcity,hqstate,newcomer,profitable,ceowoman,jobgrowth,permalink
635,2020,136.0,COFCO,Wholesalers,Trading,72149.0,1.3,414.3,22.6,85846.9,110896,Beijing,,no,yes,no,no,https://fortune.com/company/cofco/global500/
636,2020,137.0,Lowe&#8217;s,Retailing,Specialty Retailers,72148.0,1.2,4281.0,85.0,39471.0,260000,Mooresville,North Carolina,no,yes,no,yes,https://fortune.com/company/lowes/global500/
637,2020,138.0,Intel,Technology,Semiconductors and Other Electronic Components,71965.0,1.6,21048.0,,136524.0,110800,Santa Clara,California,no,yes,no,yes,https://fortune.com/company/intel/global500/
638,2020,139.0,Zurich Insurance Group,Financials,Insurance: Property and Casualty (Stock),71792.0,52.2,4147.0,11.6,404688.0,54030,Zurich,,no,yes,no,yes,https://fortune.com/company/zurich-insurance-group/global500/
639,2020,140.0,PTT,Energy,Petroleum Refining,71502.0,-1.1,2994.1,-19.2,82952.0,27987,Bangkok,,no,yes,no,yes,https://fortune.com/company/ptt/global500/
640,2020,141.0,U.S. Postal Service,Transportation,"Mail, Package, and Freight Delivery",71154.0,0.7,-8813.0,,25633.0,565021,Washington,District Of Columbia,no,no,no,no,https://fortune.com/company/u-s-postal-service/global500/
641,2020,142.0,Deutsche Post DHL Group,Transportation,"Mail, Package, and Freight Delivery",70895.0,-2.4,2935.8,19.9,58554.5,504871,Bonn,,no,yes,no,yes,https://fortune.com/company/deutsche-post-dhl-group/global500/
642,2020,143.0,BASF,Chemicals,Chemicals,70723.0,-10.2,9425.3,69.7,97592.7,117628,Ludwigshafen,,no,yes,no,no,https://fortune.com/company/basf/global500/
643,2020,144.0,Meta Platforms,Technology,Internet Services and Retailing,70697.0,26.6,18485.0,-16.4,133376.0,44942,Menlo Park,California,no,yes,no,yes,https://fortune.com/company/facebook/global500/
644,2020,145.0,Sinopharm,Health Care,Pharmaceuticals,70690.0,17.9,912.2,3.1,56506.4,155622,Beijing,,no,yes,no,yes,https://fortune.com/company/sinopharm/global500/
645,2020,146.0,ArcelorMittal,Materials,Metals,70615.0,-7.1,-2454.0,-147.7,87908.0,191248,Luxembourg,,no,no,no,no,https://fortune.com/company/arcelormittal/global500/
646,2020,147.0,Country Garden Holdings,Financials,Real estate,70335.0,22.7,5724.9,9.4,273791.9,101784,Foshan,,no,yes,no,no,https://fortune.com/company/country-garden-holdings/global500/
647,2020,148.0,FedEx,Transportation,"Mail, Package, and Freight Delivery",69693.0,6.5,540.0,-88.2,54403.0,374198,Memphis,Tennessee,no,yes,no,yes,https://fortune.com/company/fedex/global500/
648,2020,149.0,MetLife,Financials,"Insurance: Life, Health (stock)",69620.0,2.5,5899.0,15.1,740463.0,49000,New York,New York,no,yes,no,yes,https://fortune.com/company/metlife/global500/
649,2020,150.0,Walt Disney,Media,Entertainment,69570.0,17.1,11054.0,-12.3,193984.0,223000,Burbank,California,no,yes,no,yes,https://fortune.com/company/disney/global500/
650,2020,151.0,Indian Oil,Energy,Petroleum Refining,69246.0,-10.8,-126.0,-105.1,43608.8,34996,New Delhi,,no,no,no,no,https://fortune.com/company/indian-oil/global500/
651,2020,152.0,China Evergrande Group,Financials,Real estate,69127.0,-1.9,2501.3,-55.7,316777.5,133123,Shenzhen,,no,yes,no,yes,https://fortune.com/company/china-evergrande-group/global500/
652,2020,153.0,Panasonic,Technology,"Electronics, Electrical Equip.",68897.0,-4.5,2076.0,-19.0,57541.6,259385,Osaka,,no,yes,no,no,https://fortune.com/company/panasonic/global500/
653,2020,154.0,China North Industries Group,Aerospace & Defense,Aerospace & Defense,68714.0,-0.1,1283.7,32.8,61501.7,204378,Beijing,,no,yes,no,no,https://fortune.com/company/china-north-industries-group/global500/
654,2020,155.0,Brookfield Asset Management,Financials,Diversified Financials,67826.0,19.5,2807.0,-21.7,323969.0,151000,"Toronto, Ontario",,no,yes,no,yes,https://fortune.com/company/brookfield-asset-management/global500/
655,2020,156.0,Procter & Gamble,Household Products,Household and Personal Products,67684.0,1.3,3897.0,-60.0,115095.0,97000,Cincinnati,Ohio,no,yes,no,yes,https://fortune.com/company/procter-gamble/global500/
656,2020,157.0,PowerChina,Engineering & Construction,Engineering & Construction,67371.0,10.0,772.8,-3.9,139084.0,180416,Beijing,,no,yes,no,no,https://fortune.com/company/powerchina/global500/
657,2020,158.0,China Telecommunications,Telecommunications,Telecommunications,67365.0,-2.0,1802.6,8.3,129342.9,401965,Beijing,,no,yes,no,no,https://fortune.com/company/china-telecommunications/global500/
658,2020,159.0,Engie,Energy,Energy,67220.0,-9.3,1101.3,-9.7,179351.7,171103,Courbevoie,,no,yes,yes,yes,https://fortune.com/company/engie/global500/
659,2020,160.0,PepsiCo,"Food, Beverages & Tobacco",Food Consumer Products,67161.0,3.9,7314.0,-41.6,78547.0,267000,Purchase,New York,no,yes,no,no,https://fortune.com/company/pepsico/global500/
660,2020,161.0,Mitsubishi UFJ Financial Group,Financials,Banks: Commercial and Savings,67135.0,11.1,4857.8,-38.3,3114383.1,138570,Tokyo,,no,yes,no,yes,https://fortune.com/company/mitsubishi-ufj-financial-group/global500/
661,2020,162.0,Bank of Communications,Financials,Banks: Commercial and Savings,66564.0,1.4,11186.4,0.5,1422053.8,87828,Shanghai,,no,yes,no,no,https://fortune.com/company/bank-of-communications/global500/
662,2020,163.0,Aviation Industry Corp. of China,Aerospace & Defense,Aerospace & Defense,65909.0,0.6,578.1,-16.8,144797.5,417798,Beijing,,no,yes,no,no,https://fortune.com/company/aviation-industry-corp-of-china/global500/
663,2020,164.0,ChemChina,Chemicals,Chemicals,65767.0,-2.4,-1250.9,,121159.6,145526,Beijing,,no,no,no,yes,https://fortune.com/company/chemchina/global500/
664,2020,165.0,Dai-ichi Life Holdings,Financials,"Insurance: Life, Health (stock)",65434.0,1.0,298.3,-85.3,555306.7,63719,Tokyo,,no,yes,no,yes,https://fortune.com/company/dai-ichi-life-holdings/global500/
665,2020,166.0,Humana,Health Care,Health Care: Insurance and Managed Care,64888.0,14.0,2707.0,60.8,29074.0,46000,Louisville,Kentucky,no,yes,no,yes,https://fortune.com/company/humana/global500/
666,2020,167.0,Prudential Financial,Financials,"Insurance: Life, Health (stock)",64807.0,2.9,4186.0,2.7,896552.0,51511,Newark,New Jersey,no,yes,no,yes,https://fortune.com/company/prudential-financial/global500/
667,2020,168.0,Archer Daniels Midland (ADM),"Food, Beverages & Tobacco",Food Production,64656.0,0.5,1379.0,-23.8,43997.0,38100,Chicago,Illinois,no,yes,no,yes,https://fortune.com/company/archer-daniels-midland/global500/
668,2020,169.0,Equinor,Energy,Petroleum Refining,64357.0,-19.1,1843.0,-75.5,118063.0,21412,Stavanger,,no,yes,no,yes,https://fortune.com/company/statoil/global500/
669,2020,170.0,Lloyds Banking Group,Financials,Banks: Commercial and Savings,64297.0,82.4,3732.5,-35.0,1104491.3,63069,London,,no,yes,no,no,https://fortune.com/company/lloyds-banking-group/global500/
670,2020,171.0,Roche Group,Health Care,Pharmaceuticals,63434.0,4.3,13429.8,25.1,80440.4,97735,Basel,,no,yes,no,yes,https://fortune.com/company/roche-group/global500/
671,2020,172.0,Mitsui,Wholesalers,Trading,63327.0,0.9,3601.0,-3.6,109246.7,45624,Tokyo,,no,yes,no,yes,https://fortune.com/company/mitsui/global500/
672,2020,173.0,Marubeni,Wholesalers,Trading,62799.0,-5.9,-1816.1,-187.2,58481.0,49515,Tokyo,,no,no,no,yes,https://fortune.com/company/marubeni/global500/
673,2020,174.0,Albertsons,Food & Drug Stores,Food & Drug Stores,62455.0,3.2,466.4,255.8,24735.1,270000,Boise,Idaho,no,yes,no,yes,https://fortune.com/company/albertsons-cos/global500/
674,2020,175.0,Renault,Motor Vehicles & Parts,Motor Vehicles & Parts,62160.0,-8.3,-157.8,-104.0,137124.7,179565,Boulogne-Billancourt,,no,no,no,no,https://fortune.com/company/renault/global500/
675,2020,176.0,Greenland Holding Group,Financials,Real estate,61965.0,17.5,2134.1,24.1,164478.3,52576,Shanghai,,no,yes,no,yes,https://fortune.com/company/greenland-holding-group/global500/
676,2020,177.0,Toyota Tsusho,Wholesalers,Trading,61570.0,0.9,1246.8,4.2,42058.0,66067,Nagoya,,no,yes,no,yes,https://fortune.com/company/toyota-tsusho/global500/
677,2020,178.0,Seven & I Holdings,Food & Drug Stores,Food & Drug Stores,60952.0,-0.9,2001.5,8.9,55604.0,98039,Tokyo,,no,yes,no,no,https://fortune.com/company/seven-i-holdings/global500/
678,2020,179.0,Sysco,Wholesalers,Wholesalers: Food and Grocery,60114.0,2.4,1674.3,17.0,17966.5,69000,Houston,Texas,no,yes,no,yes,https://fortune.com/company/sysco/global500/
679,2020,180.0,Christian Dior,Apparel,Apparel,60071.0,8.7,3288.4,8.3,105314.8,149685,Paris,,no,yes,no,yes,https://fortune.com/company/christian-dior/global500/
680,2020,181.0,Manulife Financial,Financials,"Insurance: Life, Health (stock)",59969.0,99.4,4222.0,14.0,624039.8,35000,"Toronto, Ontario",,no,yes,no,yes,https://fortune.com/company/manulife-financial/global500/
681,2020,182.0,Lockheed Martin,Aerospace & Defense,Aerospace & Defense,59812.0,11.3,6230.0,23.5,47528.0,110000,Bethesda,Maryland,no,yes,no,yes,https://fortune.com/company/lockheed-martin/global500/
682,2020,183.0,Alimentation Couche-Tard,Retailing,Specialty Retailers,59118.0,15.0,1833.9,9.6,22607.7,133000,"Laval, Quebec",,no,yes,no,yes,https://fortune.com/company/alimentation-couche-tard/global500/
683,2020,184.0,HP,Technology,"Computers, Office Equipment",58756.0,0.5,3152.0,-40.8,33467.0,56000,Palo Alto,California,no,yes,no,yes,https://fortune.com/company/hp/global500/
