City,Region,Country,"Internet Price, 2010","Internet Price, 2011","Internet Price, 2012","Internet Price, 2013","Internet Price, 2014","Internet Price, 2015","Internet Price, 2016","Internet Price, 2017","Internet Price, 2018","Internet Price, 2019","Internet Price, 2020"
Vienna,,Austria,43.209876543209894,23.9130434782609,21.584362139917697,27.625231910946198,27.860933460334703,23.0948477751756,25.8487414729535,27.214165145199598,35.241680462912704,34.666099532114,37.7027573316934
Stockholm,Stockholm County,Sweden,27.6641091219096,36.504065040650396,27.5103163686382,31.1010406176569,38.0848477602423,28.7134138302314,29.1920292903444,34.275698328473304,32.200192419513996,31.739346259721103,28.3541152394774
Helsinki,Uusimaa,Finland,29.506172839506196,28.9855072463768,24.6913580246914,24.891774891774897,24.935365355830697,20.6067458074242,22.088205244636196,22.633975220182098,28.419265055081897,24.8102711052408,24.0265249272413
Dublin,,Ireland,33.9506172839506,53.3333333333333,43.3641975308642,44.2486085343228,46.529384194372604,44.163544106167,49.352061266012896,54.0472458575907,60.2319775029387,60.2810071345297,57.993716991843606
Reykjavik,,Iceland,0.0,36.2221304233077,50.5113494637067,0.0,59.463838562380296,61.17388292894421,56.0147459559324,62.07775458359,68.283680760683,65.736168389839,67.094300670943
Tallinn,Harju County,Estonia,17.753235704739602,28.198067632850197,19.7530864197531,0.0,23.1323989658457,17.1733021077283,17.3336709833475,22.440078661967696,25.9170933289079,25.9349741812471,25.747395299397503
Riga,,Latvia,0.0,20.557030133475102,17.723515932250898,18.0932343222275,15.286579888971698,12.6939890710383,13.3985444179564,15.4423460012045,17.596718644679,17.833597670845002,17.5010347204154
Bratislava,Bratislava Region,Slovakia,18.5185185185185,21.7391304347826,16.8724279835391,15.464285714285701,16.9184015965891,14.928961748633899,15.3368786584816,16.8243394536498,19.096339042334698,17.6792470329375,16.8861118966555
Budapest,,Hungary,29.1346598107161,28.4306019059087,19.4348469891412,16.2961503087636,19.610077387505697,13.8754880582518,15.0688642951741,15.6629567531741,15.5424665206148,14.159070386211901,15.103968066776302
Gdansk,Pomeranian Voivodeship,Poland,0.0,29.197080291970803,16.195856873823,12.5379939209726,14.2180873795983,13.5397031884674,12.324388353235301,13.175318682200599,15.9137071043025,13.542125476196,14.349064094096502
Frankfurt,Hesse,Germany,0.0,32.318840579710105,30.8641975308642,30.3030303030303,31.977139746904303,25.601092896174897,27.222159155409198,30.7368637110016,34.8355049131646,33.926174211692,35.334262391779
Wroclaw,Lower Silesian Voivodeship,Poland,0.0,20.6204379562044,15.662557781201901,16.5906788247214,14.0624828780258,11.5081705702489,11.4372314732901,13.3941979957951,14.543317917419698,13.533854195262801,13.7785462524435
Kochi,Kerala,India,0.0,21.1298932384342,30.8202939781887,23.0619469026549,19.1381818980683,17.2535764816853,22.924192907726102,18.1519561402146,13.860313447658699,8.22243269350383,10.958722292149199
Kaliningrad,Kaliningrad Oblast,Russia,0.0,0.0,0.0,0.0,0.0,0.0,5.99431001649204,8.01567665962707,7.35212820075608,7.366911355932139,6.200882948712279
Luxembourg,,Luxembourg,0.0,0.0,52.469135802469104,0.0,51.367532997686794,43.9587128111718,44.5891377325138,49.174962968066396,56.193798902253896,52.54700625091721,60.293268513502
Phnom Penh,,Cambodia,0.0,0.0,53.3333333333333,86.25,26.3333333333333,36.75,25.62375,30.5,33.6666666666667,20.0,30.142857142857103
Ho Chi Minh City,,Vietnam,0.0,23.0,16.4064748201439,0.0,0.0,11.376188839234601,13.822307446468502,13.106031948496302,11.422710088057801,11.376061673486399,11.2125811818799
Hanoi,,Vietnam,0.0,0.0,13.228883559818803,0.0,14.9795017344686,11.641266567358,12.5776783494904,8.474335993245731,11.469786718142199,10.4078118347109,9.935254314905489
Bangkok,,Thailand,17.4149450097646,20.2850513755386,21.854356715948402,21.0448264239973,20.581654897964803,18.5643307378569,17.360993651853,20.818878224883303,23.6722094348958,22.087572646797,20.339562434762602
Kuala Lumpur,,Malaysia,38.3435582822086,48.625,47.4213836477987,46.0213032581454,44.4639548412117,43.437589002410796,40.2884924106525,39.97655334114889,37.477417319566605,28.7473564255934,28.245213968215605
Taipei,,Taiwan,21.0,20.0,26.8186389540731,25.9474223284397,20.927964993222197,23.2474398666349,25.015245609886602,24.9247054654974,28.4195979101014,21.6697846973396,20.121383091930603
Odessa,Odessa Oblast,Ukraine,0.0,0.0,0.0,7.862251243781099,4.38615108168145,3.60906054833342,3.30373898173401,3.7446129135608,4.7889276028943,5.698654482707441,6.33661959824233
Concepcion,Biobio Region,Chile,0.0,0.0,0.0,0.0,0.0,35.0543770814593,0.0,0.0,0.0,0.0,0.0
